movieId,n_i,popularity_pct
373,3527,2.55
374,4965,3.59
375,254,0.18
376,11294,8.15
377,41562,30.01
378,2342,1.69
379,5470,3.95
380,43159,31.16
381,4925,3.56
382,5419,3.91
383,5025,3.63
384,771,0.56
385,128,0.09
386,357,0.26
387,701,0.51
388,551,0.4
389,201,0.15
390,814,0.59
391,427,0.31
392,275,0.2
393,2041,1.47
394,132,0.1
395,13,0.01
396,26,0.02
397,92,0.07
398,51,0.04
399,10,0.01
400,28,0.02
401,19,0.01
402,60,0.04
403,13,0.01
404,81,0.06
405,3554,2.57
406,66,0.05
407,1800,1.3
408,652,0.47
409,431,0.31
410,18618,13.44
411,113,0.08
412,4521,3.26
413,6105,4.41
414,865,0.62
415,3217,2.32
416,1774,1.28
417,3301,2.38
418,685,0.49
419,4542,3.28
420,14934,10.78
421,1748,1.26
422,1412,1.02
423,2304,1.66
424,742,0.54
425,882,0.64
426,3314,2.39
427,3407,2.46
428,4919,3.55
429,1483,1.07
430,252,0.18
431,8946,6.46
432,12819,9.26
433,1242,0.9
434,24940,18.01
435,13911,10.04
436,1239,0.89
437,1835,1.32
438,1054,0.76
439,53,0.04
440,19297,13.93
441,8035,5.8
442,18307,13.22
443,587,0.42
444,1299,0.94
445,1893,1.37
446,3752,2.71
447,223,0.16
448,3013,2.18
449,684,0.49
450,2967,2.14
451,636,0.46
452,1204,0.87
453,931,0.67
454,25689,18.55
455,8453,6.1
456,931,0.67
457,49581,35.8
458,1054,0.76
459,1103,0.8
460,913,0.66
461,904,0.65
462,203,0.15
463,410,0.3
464,3149,2.27
465,723,0.52
466,13521,9.76
467,741,0.54
468,7347,5.3
469,1279,0.92
470,463,0.33
471,11268,8.14
472,731,0.53
473,1364,0.98
474,18836,13.6
475,9083,6.56
476,229,0.17
477,4534,3.27
478,277,0.2
479,1230,0.89
480,59715,43.12
481,5360,3.87
482,2716,1.96
483,587,0.42
484,704,0.51
485,13577,9.8
486,602,0.43
487,615,0.44
488,532,0.38
489,3032,2.19
490,3210,2.32
491,5457,3.94
492,3116,2.25
493,3699,2.67
494,12190,8.8
495,653,0.47
496,413,0.3
497,14214,10.26
498,378,0.27
499,404,0.29
500,34392,24.83
501,1897,1.37
502,3642,2.63
503,140,0.1
504,1136,0.82
505,1293,0.93
506,1343,0.97
507,3233,2.33
508,19489,14.07
509,17068,12.32
510,879,0.63
511,1665,1.2
512,1239,0.89
513,572,0.41
514,4681,3.38
515,10661,7.7
516,3431,2.48
517,3450,2.49
518,1222,0.88
519,4812,3.47
520,14439,10.43
521,2185,1.58
522,1264,0.91
523,926,0.67
524,7630,5.51
525,172,0.12
526,130,0.09
527,50054,36.14
528,913,0.66
529,10952,7.91
530,32,0.02
531,7459,5.39
532,5968,4.31
533,3865,2.79
534,4869,3.52
535,5576,4.03
536,742,0.54
537,3431,2.48
538,5101,3.68
539,28805,20.8
540,4943,3.57
541,30526,22.04
542,3491,2.52
543,12348,8.92
544,2168,1.57
545,50,0.04
546,5554,4.01
547,807,0.58
548,2843,2.05
549,1450,1.05
550,3373,2.44
551,20509,14.81
552,12901,9.32
553,15157,10.94
554,516,0.37
555,15360,11.09
556,1219,0.88
558,1428,1.03
559,47,0.03
560,39,0.03
561,223,0.16
562,6197,4.47
563,342,0.25
564,328,0.24
565,687,0.5
566,150,0.11
567,360,0.26
568,389,0.28
569,1673,1.21
570,220,0.16
571,203,0.15
572,35,0.03
573,205,0.15
574,1390,1.0
575,2553,1.84
576,25,0.02
577,616,0.44
579,38,0.03
580,569,0.41
581,1883,1.36
582,131,0.09
583,251,0.18
584,27,0.02
585,9713,7.01
586,28348,20.47
587,29488,21.29
588,41842,30.21
589,52244,37.72
590,44208,31.92
591,30,0.02
592,46054,33.25
593,63299,45.71
594,17766,12.83
595,35138,25.37
596,12782,9.23
597,33900,24.48
598,135,0.1
599,3174,2.29
600,305,0.22
601,113,0.08
602,340,0.25
603,601,0.43
604,6,0.0
605,3396,2.45
606,1514,1.09
607,18,0.01
608,43272,31.24
609,2430,1.75
610,7845,5.66
611,1767,1.28
612,1609,1.16
613,2430,1.75
614,163,0.12
615,637,0.46
616,7892,5.7
617,524,0.38
618,360,0.26
619,714,0.52
620,35,0.03
621,330,0.24
623,35,0.03
624,47,0.03
625,25,0.02
626,631,0.46
627,1833,1.32
628,11169,8.06
629,24,0.02
630,223,0.16
631,2193,1.58
632,342,0.25
633,336,0.24
634,334,0.24
635,1100,0.79
636,35,0.03
637,5791,4.18
638,581,0.42
639,1147,0.83
640,3136,2.26
641,80,0.06
642,11,0.01
643,23,0.02
644,14,0.01
645,302,0.22
647,7893,5.7
648,37127,26.81
649,137,0.1
650,1368,0.99
651,44,0.03
652,76,0.05
653,14192,10.25
654,17,0.01
655,18,0.01
656,1198,0.87
657,36,0.03
658,49,0.04
659,433,0.31
660,120,0.09
661,10228,7.39
662,2792,2.02
663,3327,2.4
664,322,0.23
665,1148,0.83
666,164,0.12
667,1061,0.77
668,761,0.55
670,765,0.55
671,6361,4.59
672,27,0.02
673,9917,7.16
674,3286,2.37
675,28,0.02
676,28,0.02
678,2677,1.93
679,97,0.07
680,1108,0.8
681,334,0.24
682,64,0.05
683,35,0.03
684,21,0.02
685,536,0.39
687,100,0.07
688,2963,2.14
690,82,0.06
691,1172,0.85
692,920,0.66
693,27,0.02
694,2759,1.99
695,848,0.61
696,117,0.08
697,1142,0.82
698,148,0.11
699,17,0.01
700,1245,0.9
701,97,0.07
702,371,0.27
703,357,0.26
704,1784,1.29
705,430,0.31
706,251,0.18
707,4627,3.34
708,15263,11.02
709,2597,1.88
710,1249,0.9
711,2120,1.53
712,181,0.13
713,135,0.1
714,3307,2.39
715,614,0.44
716,301,0.22
717,90,0.06
718,903,0.65
719,7664,5.53
720,8171,5.9
721,18,0.01
722,353,0.25
723,33,0.02
724,8538,6.16
725,1563,1.13
726,536,0.39
727,25,0.02
728,3545,2.56
729,103,0.07
730,70,0.05
731,854,0.62
732,234,0.17
733,31353,22.64
734,59,0.04
735,1122,0.81
736,32446,23.43
737,4519,3.26
738,24,0.02
739,12,0.01
741,7072,5.11
742,1859,1.34
743,6112,4.41
744,37,0.03
745,12073,8.72
746,312,0.23
747,1084,0.78
748,5279,3.81
749,42,0.03
750,23220,16.77
751,156,0.11
752,41,0.03
753,520,0.38
754,361,0.26
755,152,0.11
756,113,0.08
757,216,0.16
758,25,0.02
759,376,0.27
760,895,0.65
761,3711,2.68
762,9526,6.88
763,55,0.04
764,579,0.42
765,4812,3.47
766,1801,1.3
767,304,0.22
768,34,0.02
769,137,0.1
770,27,0.02
771,155,0.11
772,34,0.02
773,36,0.03
774,35,0.03
775,138,0.1
776,47,0.03
777,29,0.02
778,23589,17.03
779,520,0.38
780,47048,33.97
781,1988,1.44
782,2748,1.98
783,10389,7.5
784,14379,10.38
785,10746,7.76
786,16135,11.65
787,89,0.06
788,18799,13.57
789,47,0.03
790,105,0.08
791,113,0.08
792,48,0.03
793,118,0.09
794,102,0.07
795,106,0.08
796,42,0.03
797,114,0.08
798,3056,2.21
799,6151,4.44
800,7196,5.2
801,1630,1.18
802,12539,9.05
803,587,0.42
804,2236,1.61
805,11684,8.44
806,563,0.41
807,208,0.15
808,820,0.59
809,1387,1.0
810,1882,1.36
812,35,0.03
813,453,0.33
814,11,0.01
815,28,0.02
816,73,0.05
818,2847,2.06
819,57,0.04
820,60,0.04
821,47,0.03
822,35,0.03
823,96,0.07
824,401,0.29
825,21,0.02
826,24,0.02
827,160,0.12
828,1498,1.08
829,1821,1.31
830,6585,4.75
831,221,0.16
832,14347,10.36
833,1427,1.03
834,203,0.15
835,947,0.68
836,4860,3.51
837,5294,3.82
838,7938,5.73
839,3984,2.88
840,667,0.48
841,459,0.33
842,2014,1.45
843,58,0.04
844,169,0.12
845,72,0.05
846,405,0.29
847,114,0.08
848,2062,1.49
849,8026,5.8
850,255,0.18
851,1617,1.17
852,10547,7.62
853,112,0.08
854,210,0.15
855,35,0.03
856,58,0.04
857,45,0.03
858,41355,29.86
859,15,0.01
860,362,0.26
861,2527,1.82
862,362,0.26
864,85,0.06
865,100,0.07
866,6230,4.5
867,335,0.24
868,87,0.06
869,568,0.41
870,465,0.34
871,60,0.04
872,61,0.04
873,41,0.03
874,73,0.05
875,524,0.38
876,300,0.22
877,167,0.12
878,28,0.02
879,2200,1.59
880,5420,3.91
881,1107,0.8
882,820,0.59
884,54,0.04
885,633,0.46
886,1658,1.2
887,37,0.03
888,720,0.52
889,119,0.09
890,29,0.02
891,1988,1.44
892,1370,0.99
893,584,0.42
894,28,0.02
895,61,0.04
896,490,0.35
897,885,0.64
898,6583,4.75
899,10219,7.38
900,3033,2.19
901,1546,1.12
902,9499,6.86
903,14094,10.18
904,17449,12.6
905,4184,3.02
906,2057,1.49
907,898,0.65
908,15627,11.28
909,5125,3.7
910,10922,7.89
911,4062,2.93
912,24349,17.58
913,12144,8.77
914,9707,7.01
915,5029,3.63
916,5961,4.3
917,1118,0.81
918,1820,1.31
919,23445,16.93
920,14396,10.39
921,2442,1.76
922,6525,4.71
923,17774,12.83
924,25253,18.23
925,94,0.07
926,4826,3.48
927,880,0.64
928,4652,3.36
929,942,0.68
930,4932,3.56
931,2268,1.64
932,2122,1.53
933,4699,3.39
934,3970,2.87
935,628,0.45
936,1410,1.02
937,493,0.36
938,1724,1.24
939,103,0.07
940,3876,2.8
941,955,0.69
942,2641,1.91
943,1710,1.23
944,1084,0.78
945,2120,1.53
946,1391,1.0
947,1739,1.26
948,1683,1.22
949,2157,1.56
950,3358,2.42
951,3902,2.82
952,2482,1.79
953,14084,10.17
954,5712,4.12
955,4427,3.2
956,363,0.26
957,234,0.17
958,94,0.07
959,393,0.28
960,164,0.12
961,252,0.18
962,105,0.08
963,544,0.39
964,341,0.25
965,3624,2.62
966,124,0.09
967,156,0.11
968,8029,5.8
969,10526,7.6
970,389,0.28
971,2874,2.08
972,117,0.08
973,942,0.68
974,136,0.1
975,24,0.02
976,437,0.32
977,10,0.01
979,41,0.03
980,117,0.08
981,211,0.15
982,588,0.42
983,20,0.01
984,238,0.17
985,58,0.04
986,2780,2.01
987,281,0.2
988,532,0.38
989,72,0.05
990,909,0.66
991,2500,1.81
992,262,0.19
993,239,0.17
994,5299,3.83
996,3276,2.37
997,222,0.16
998,791,0.57
999,3142,2.27
1000,203,0.15
1001,35,0.03
1002,145,0.1
1003,1615,1.17
1004,1569,1.13
1005,2022,1.46
1006,1512,1.09
1007,1808,1.31
1008,788,0.57
1009,2604,1.88
1010,2559,1.85
1011,1543,1.11
1012,3427,2.47
1013,4344,3.14
1014,1602,1.16
1015,3501,2.53
1016,1460,1.05
1017,3254,2.35
1018,1216,0.88
1019,6215,4.49
1020,6597,4.76
1021,3503,2.53
1022,8954,6.47
1023,3234,2.34
1024,1085,0.78
1025,5428,3.92
1026,119,0.09
1027,7695,5.56
1028,14096,10.18
1029,8951,6.46
1030,3234,2.34
1031,4227,3.05
1032,7842,5.66
1033,3982,2.88
1034,1502,1.08
1035,14049,10.14
1036,30399,21.95
1037,7006,5.06
1038,233,0.17
1039,57,0.04
1040,152,0.11
1041,5625,4.06
1042,8327,6.01
1043,1211,0.87
1044,506,0.37
1045,46,0.03
1046,1287,0.93
1047,8522,6.15
1049,5039,3.64
1050,1737,1.25
1051,1352,0.98
1052,48,0.03
1053,212,0.15
1054,785,0.57
1055,330,0.24
1056,723,0.52
1057,3308,2.39
1058,135,0.1
1059,10195,7.36
1060,9846,7.11
1061,8740,6.31
1062,66,0.05
1063,155,0.11
1064,2954,2.13
1065,16,0.01
1066,1415,1.02
1067,142,0.1
1068,333,0.24
1069,764,0.55
1070,57,0.04
1071,57,0.04
1073,28335,20.46
1075,126,0.09
1076,428,0.31
1077,6853,4.95
1078,3590,2.59
1079,19674,14.21
1080,20557,14.84
1081,3925,2.83
1082,1848,1.33
1083,1543,1.11
1084,9533,6.88
1085,1285,0.93
1086,5581,4.03
1087,276,0.2
1088,11013,7.95
1089,27635,19.95
1090,15808,11.41
1091,5148,3.72
1092,10998,7.94
1093,7681,5.55
1094,12348,8.92
1095,6090,4.4
1096,3681,2.66
1097,32685,23.6
1098,135,0.1
1099,2164,1.56
1100,5342,3.86
1101,20338,14.69
1102,80,0.06
1103,5951,4.3
1104,6372,4.6
1105,922,0.67
1106,38,0.03
1107,83,0.06
1109,13,0.01
1110,29,0.02
1111,1764,1.27
1112,386,0.28
1113,1046,0.76
1114,486,0.35
1115,39,0.03
1116,167,0.12
1117,222,0.16
1118,32,0.02
1119,180,0.13
1120,9028,6.52
1121,114,0.08
1122,17,0.01
1123,207,0.15
1124,4636,3.35
1125,5267,3.8
1126,3122,2.25
1127,17508,12.64
1128,1690,1.22
1129,8891,6.42
1130,1944,1.4
1131,3247,2.34
1132,3060,2.21
1133,106,0.08
1134,57,0.04
1135,3969,2.87
1136,33024,23.85
1137,68,0.05
1138,52,0.04
1139,25,0.02
1140,32,0.02
1141,5,0.0
1142,64,0.05
1143,55,0.04
1144,164,0.12
1145,57,0.04
1146,38,0.03
1147,3737,2.7
1148,15022,10.85
1149,59,0.04
1150,1661,1.2
1151,368,0.27
1152,164,0.12
1153,139,0.1
1154,106,0.08
1155,10,0.01
1156,42,0.03
1157,32,0.02
1158,13,0.01
1159,19,0.01
1160,43,0.03
1161,1488,1.07
1162,785,0.57
1163,246,0.18
1164,157,0.11
1165,36,0.03
1166,40,0.03
1167,863,0.62
1168,201,0.15
1169,312,0.23
1170,162,0.12
1171,3326,2.4
1172,9100,6.57
1173,2948,2.13
1174,99,0.07
1175,7059,5.1
1176,1727,1.25
1177,1857,1.34
1178,3568,2.58
1179,6685,4.83
1180,473,0.34
1181,101,0.07
1183,15330,11.07
1184,1038,0.75
1185,5642,4.07
1186,7099,5.13
1187,1189,0.86
1188,7657,5.53
1189,2700,1.95
1190,1537,1.11
1191,1617,1.17
1192,1054,0.76
1193,29932,21.61
1194,2592,1.87
1196,45313,32.72
1197,32586,23.53
1198,43295,31.26
1199,13957,10.08
1200,27206,19.64
1201,14496,10.47
1202,1496,1.08
1203,12934,9.34
1204,12378,8.94
1206,24694,17.83
1207,14769,10.66
1208,23090,16.67
1209,4407,3.18
1210,46839,33.82
1211,3654,2.64
1212,6565,4.74
1213,26406,19.07
1214,30933,22.34
1215,12469,9.0
1216,1738,1.25
1217,4824,3.48
1218,2839,2.05
1219,19649,14.19
1220,19824,14.31
1221,27398,19.78
1222,21926,15.83
1223,7781,5.62
1224,4656,3.36
1225,20545,14.83
1226,2220,1.6
1227,4288,3.1
1228,9711,7.01
1230,15383,11.11
1231,7902,5.71
1232,1663,1.2
1233,13612,9.83
1234,14926,10.78
1235,8066,5.82
1236,942,0.68
1237,4142,2.99
1238,3194,2.31
1240,33429,24.14
1241,2576,1.86
1242,12266,8.86
1243,4178,3.02
1244,8066,5.82
1245,6060,4.38
1246,20538,14.83
1247,17039,12.3
1248,4718,3.41
1249,9227,6.66
1250,12576,9.08
1251,3096,2.24
1252,15310,11.05
1253,6259,4.52
1254,5155,3.72
1255,1963,1.42
1256,5569,4.02
1257,5406,3.9
1258,23410,16.9
1259,20804,15.02
1260,4232,3.06
1261,7788,5.62
1262,10904,7.87
1263,10572,7.63
1264,2649,1.91
1265,32026,23.12
1266,14151,10.22
1267,8988,6.49
1268,3180,2.3
1269,6894,4.98
1270,41426,29.91
1271,8868,6.4
1272,8157,5.89
1273,2645,1.91
1274,8324,6.01
1275,11350,8.2
1276,11353,8.2
1277,4099,2.96
1278,15087,10.89
1279,2377,1.72
1280,3253,2.35
1281,3811,2.75
1282,12139,8.77
1283,4941,3.57
1284,5529,3.99
1285,10991,7.94
1286,2165,1.56
1287,9106,6.58
1288,16054,11.59
1289,2748,1.98
1290,2430,1.75
1291,31280,22.59
1292,6355,4.59
1293,10028,7.24
1295,3385,2.44
1296,6556,4.73
1297,4412,3.19
1298,6138,4.43
1299,7150,5.16
1300,3591,2.59
1301,3834,2.77
1302,12267,8.86
1303,3607,2.6
1304,15558,11.23
1305,2343,1.69
1306,1083,0.78
1307,21888,15.8
1308,24,0.02
1309,31,0.02
1310,372,0.27
1311,148,0.11
1312,330,0.24
1313,107,0.08
1314,44,0.03
1315,65,0.05
1316,48,0.03
1317,322,0.23
1318,171,0.12
1319,24,0.02
1320,13401,9.68
1321,7476,5.4
1322,283,0.2
1323,424,0.31
1324,232,0.17
1325,272,0.2
1326,581,0.42
1327,3021,2.18
1328,266,0.19
1329,348,0.25
1330,921,0.67
1331,397,0.29
1332,733,0.53
1333,11160,8.06
1334,2769,2.0
1335,207,0.15
1336,450,0.32
1337,670,0.48
1339,10022,7.24
1340,2231,1.61
1341,383,0.28
1342,3289,2.37
1343,9141,6.6
1344,4414,3.19
1345,8569,6.19
1346,1708,1.23
1347,7450,5.38
1348,3741,2.7
1349,119,0.09
1350,5420,3.91
1351,396,0.29
1352,772,0.56
1353,2129,1.54
1354,3793,2.74
1355,785,0.57
1356,19324,13.95
1357,8043,5.81
1358,13451,9.71
1359,3463,2.5
1360,53,0.04
1361,1591,1.15
1363,1680,1.21
1364,91,0.07
1365,1139,0.82
1366,1960,1.42
1367,8581,6.2
1368,41,0.03
1369,95,0.07
1370,15579,11.25
1371,9758,7.05
1372,10862,7.84
1373,7427,5.36
1374,15893,11.48
1375,10813,7.81
1376,13098,9.46
1377,12841,9.27
1378,6755,4.88
1379,3010,2.17
1380,15630,11.29
1381,3670,2.65
1382,998,0.72
1383,142,0.1
1384,127,0.09
1385,6053,4.37
1386,29,0.02
1387,22168,16.01
1388,4501,3.25
1389,1965,1.42
1390,1623,1.17
1391,17230,12.44
1392,1728,1.25
1393,22319,16.12
1394,15483,11.18
1395,2269,1.64
1396,12385,8.94
1397,615,0.44
1398,833,0.6
1399,1456,1.05
1400,32,0.02
1401,1483,1.07
1404,645,0.47
1405,8752,6.32
1406,350,0.25
1407,16067,11.6
1408,12419,8.97
1409,5998,4.33
1410,751,0.54
1411,5968,4.31
1412,278,0.2
1413,373,0.27
1414,1648,1.19
1415,271,0.2
1416,5017,3.62
1417,753,0.54
1419,1356,0.98
1420,81,0.06
1421,194,0.14
1422,2820,2.04
1423,186,0.13
1424,25,0.02
1425,2125,1.53
1426,245,0.18
1427,769,0.56
1428,324,0.23
1429,3431,2.48
1430,200,0.14
1431,2931,2.12
1432,1308,0.94
1433,67,0.05
1434,60,0.04
1436,68,0.05
1437,317,0.23
1438,5933,4.28
1439,335,0.24
1440,727,0.52
1441,5970,4.31
1442,710,0.51
1443,23,0.02
1444,135,0.1
1445,1290,0.93
1446,2237,1.62
1447,599,0.43
1448,50,0.04
1449,5957,4.3
1450,284,0.21
1453,1560,1.13
1454,755,0.55
1455,176,0.13
1456,525,0.38
1457,2747,1.98
1458,224,0.16
1459,3555,2.57
1460,786,0.57
1461,2483,1.79
1462,20,0.01
1463,354,0.26
1464,4022,2.9
1465,999,0.72
1466,10585,7.64
1467,28,0.02
1468,1146,0.83
1470,53,0.04
1471,91,0.07
1472,400,0.29
1473,231,0.17
1474,1755,1.27
1475,779,0.56
1476,5779,4.17
1477,352,0.25
1479,7896,5.7
1480,1921,1.39
1482,511,0.37
1483,2641,1.91
1484,1034,0.75
1485,16832,12.15
1486,87,0.06
1487,1608,1.16
1488,3452,2.49
1489,393,0.28
1490,320,0.23
1493,219,0.16
1495,715,0.52
1496,346,0.25
1497,705,0.51
1498,1223,0.88
1499,5781,4.17
1500,14487,10.46
1501,191,0.14
1502,246,0.18
1503,1287,0.93
1504,137,0.1
1507,372,0.27
1508,202,0.15
1509,189,0.14
1510,23,0.02
1511,153,0.11
1513,8252,5.96
1514,132,0.1
1515,3577,2.58
1516,464,0.34
1517,22074,15.94
1518,3056,2.21
1519,120,0.09
1520,144,0.1
1522,36,0.03
1523,351,0.25
1524,20,0.01
1525,335,0.24
1526,777,0.56
1527,27660,19.97
1528,28,0.02
1529,234,0.17
1531,72,0.05
1532,62,0.04
1533,311,0.22
1534,86,0.06
1535,751,0.54
1537,3876,2.8
1538,122,0.09
1539,279,0.2
1541,2118,1.53
1542,2152,1.55
1543,72,0.05
1544,14530,10.49
1545,624,0.45
1546,407,0.29
1547,259,0.19
1548,38,0.03
1549,129,0.09
1550,686,0.5
1551,311,0.22
1552,14110,10.19
1553,32,0.02
1554,1307,0.94
1555,68,0.05
1556,5326,3.85
1557,18,0.01
1558,32,0.02
1559,9,0.01
1561,40,0.03
1562,9144,6.6
1563,216,0.16
1564,270,0.19
1565,244,0.18
1566,5024,3.63
1567,78,0.06
1568,6,0.0
1569,9955,7.19
1570,305,0.22
1571,459,0.33
1572,585,0.42
1573,18460,13.33
1574,116,0.08
1575,151,0.11
1577,35,0.03
1578,19,0.01
1579,33,0.02
1580,35580,25.69
1581,610,0.44
1582,477,0.34
1583,244,0.18
1584,19874,14.35
1585,207,0.15
1586,6692,4.83
1587,6713,4.85
1588,3983,2.88
1589,5044,3.64
1590,6687,4.83
1591,5255,3.79
1592,1375,0.99
1593,1583,1.14
1594,2552,1.84
1595,941,0.68
1596,481,0.35
1597,10362,7.48
1598,893,0.64
1599,519,0.37
1600,671,0.48
1601,637,0.46
1602,424,0.31
1603,3072,2.22
1604,758,0.55
1605,893,0.64
1606,855,0.62
1608,14169,10.23
1609,696,0.5
1610,21349,15.42
1611,2528,1.83
1612,443,0.32
1613,253,0.18
