userId,n_u,pct_items_rated
493,22,0.08
494,61,0.23
495,27,0.1
496,168,0.63
497,74,0.28
498,30,0.11
499,40,0.15
500,136,0.51
501,21,0.08
502,27,0.1
503,177,0.66
504,222,0.83
505,123,0.46
506,35,0.13
507,40,0.15
508,206,0.77
509,123,0.46
510,35,0.13
511,20,0.07
512,162,0.61
513,20,0.07
514,161,0.6
515,57,0.21
516,234,0.87
517,47,0.18
518,57,0.21
519,20,0.07
520,458,1.71
521,159,0.59
522,20,0.07
523,49,0.18
524,26,0.1
525,58,0.22
526,87,0.33
527,22,0.08
528,22,0.08
529,28,0.1
530,67,0.25
531,98,0.37
532,74,0.28
533,27,0.1
534,152,0.57
535,148,0.55
536,220,0.82
537,72,0.27
538,21,0.08
539,39,0.15
540,172,0.64
541,21,0.08
542,23,0.09
543,101,0.38
544,183,0.68
545,107,0.4
546,244,0.91
547,20,0.07
548,129,0.48
549,211,0.79
550,20,0.07
551,73,0.27
552,109,0.41
553,187,0.7
554,490,1.83
555,44,0.16
556,27,0.1
557,179,0.67
558,60,0.22
559,32,0.12
560,47,0.18
561,55,0.21
562,48,0.18
563,76,0.28
564,48,0.18
565,101,0.38
566,29,0.11
567,31,0.12
568,36,0.13
569,58,0.22
570,58,0.22
571,113,0.42
572,1326,4.96
573,88,0.33
574,115,0.43
575,41,0.15
576,91,0.34
577,177,0.66
578,433,1.62
579,220,0.82
580,35,0.13
581,47,0.18
582,39,0.15
583,46,0.17
584,124,0.46
585,62,0.23
586,1431,5.35
587,873,3.26
588,100,0.37
589,24,0.09
590,40,0.15
591,37,0.14
592,30,0.11
593,219,0.82
594,244,0.91
595,51,0.19
596,30,0.11
597,24,0.09
598,119,0.44
599,45,0.17
600,331,1.24
601,193,0.72
602,39,0.15
603,139,0.52
604,245,0.92
605,45,0.17
606,74,0.28
607,33,0.12
608,20,0.07
609,602,2.25
610,529,1.98
611,75,0.28
612,77,0.29
613,21,0.08
614,1042,3.9
615,22,0.08
616,29,0.11
617,51,0.19
618,24,0.09
619,256,0.96
620,91,0.34
621,51,0.19
622,49,0.18
623,35,0.13
624,21,0.08
625,22,0.08
626,70,0.26
627,52,0.19
628,210,0.79
629,34,0.13
630,124,0.46
631,668,2.5
632,1094,4.09
633,80,0.3
634,106,0.4
635,390,1.46
636,76,0.28
637,758,2.83
638,30,0.11
639,23,0.09
640,51,0.19
641,20,0.07
642,43,0.16
643,207,0.77
644,20,0.07
645,72,0.27
646,152,0.57
647,58,0.22
648,904,3.38
649,83,0.31
650,137,0.51
651,45,0.17
652,95,0.36
653,30,0.11
654,89,0.33
655,28,0.1
656,42,0.16
657,36,0.13
658,80,0.3
659,142,0.53
660,35,0.13
661,167,0.62
662,235,0.88
663,428,1.6
664,429,1.6
665,162,0.61
666,68,0.25
667,72,0.27
668,24,0.09
669,32,0.12
670,147,0.55
671,73,0.27
672,213,0.8
673,237,0.89
674,42,0.16
675,187,0.7
676,34,0.13
677,36,0.13
678,280,1.05
679,23,0.09
680,96,0.36
681,28,0.1
682,69,0.26
683,40,0.15
684,28,0.1
685,79,0.3
686,70,0.26
687,26,0.1
688,186,0.7
689,296,1.11
690,103,0.39
691,35,0.13
692,158,0.59
693,85,0.32
694,285,1.07
695,31,0.12
696,83,0.31
697,65,0.24
698,29,0.11
699,300,1.12
700,157,0.59
701,24,0.09
702,805,3.01
703,41,0.15
704,65,0.24
705,75,0.28
706,67,0.25
707,103,0.39
708,28,0.1
709,229,0.86
710,958,3.58
711,150,0.56
712,28,0.1
713,58,0.22
714,47,0.18
715,39,0.15
716,22,0.08
717,662,2.48
718,31,0.12
719,27,0.1
720,24,0.09
721,191,0.71
722,46,0.17
723,20,0.07
724,232,0.87
725,94,0.35
726,37,0.14
727,243,0.91
728,22,0.08
729,502,1.88
730,26,0.1
731,48,0.18
732,169,0.63
733,177,0.66
734,34,0.13
735,373,1.39
736,40,0.15
737,259,0.97
738,153,0.57
739,491,1.84
740,173,0.65
741,2212,8.27
742,133,0.5
743,20,0.07
744,547,2.05
745,77,0.29
746,26,0.1
747,27,0.1
748,101,0.38
749,96,0.36
750,171,0.64
751,21,0.08
752,27,0.1
753,45,0.17
754,164,0.61
755,49,0.18
756,72,0.27
757,53,0.2
758,30,0.11
759,25,0.09
760,131,0.49
761,248,0.93
762,22,0.08
763,98,0.37
764,20,0.07
765,34,0.13
766,69,0.26
767,29,0.11
768,1769,6.61
769,186,0.7
770,233,0.87
771,53,0.2
772,48,0.18
773,33,0.12
774,115,0.43
775,1957,7.32
776,220,0.82
777,824,3.08
778,188,0.7
779,182,0.68
780,28,0.1
781,50,0.19
782,61,0.23
783,91,0.34
784,126,0.47
785,47,0.18
786,342,1.28
787,262,0.98
788,43,0.16
789,58,0.22
790,76,0.28
791,71,0.27
792,356,1.33
793,126,0.47
794,44,0.16
795,50,0.19
796,76,0.28
797,94,0.35
798,91,0.34
799,74,0.28
800,23,0.09
801,41,0.15
802,598,2.24
803,21,0.08
804,173,0.65
805,22,0.08
806,45,0.17
807,82,0.31
808,84,0.31
809,101,0.38
810,100,0.37
811,113,0.42
812,1069,4.0
813,27,0.1
814,109,0.41
815,37,0.14
816,127,0.47
817,46,0.17
818,30,0.11
819,35,0.13
820,64,0.24
821,85,0.32
822,69,0.26
823,40,0.15
824,164,0.61
825,20,0.07
826,27,0.1
827,81,0.3
828,167,0.62
829,387,1.45
830,24,0.09
831,37,0.14
832,26,0.1
833,47,0.18
834,76,0.28
835,26,0.1
836,28,0.1
837,21,0.08
838,78,0.29
839,53,0.2
840,207,0.77
841,88,0.33
842,22,0.08
843,503,1.88
844,85,0.32
845,48,0.18
846,385,1.44
847,541,2.02
848,57,0.21
849,20,0.07
850,24,0.09
851,42,0.16
852,50,0.19
853,188,0.7
854,66,0.25
855,22,0.08
856,848,3.17
857,53,0.2
858,80,0.3
859,22,0.08
860,230,0.86
861,21,0.08
862,21,0.08
863,84,0.31
864,66,0.25
865,81,0.3
866,195,0.73
867,20,0.07
868,256,0.96
869,321,1.2
870,105,0.39
871,33,0.12
872,512,1.91
873,149,0.56
874,20,0.07
875,38,0.14
876,26,0.1
877,36,0.13
878,191,0.71
879,70,0.26
880,24,0.09
881,41,0.15
882,61,0.23
883,46,0.17
884,23,0.09
885,300,1.12
886,37,0.14
887,109,0.41
888,50,0.19
889,116,0.43
890,65,0.24
891,95,0.36
892,587,2.19
893,309,1.16
894,97,0.36
895,37,0.14
896,64,0.24
897,100,0.37
898,65,0.24
899,31,0.12
900,202,0.76
901,44,0.16
902,188,0.7
903,2608,9.75
904,25,0.09
905,48,0.18
906,53,0.2
907,227,0.85
908,88,0.33
909,121,0.45
910,1045,3.91
911,32,0.12
912,91,0.34
913,82,0.31
914,33,0.12
915,131,0.49
916,232,0.87
917,39,0.15
918,80,0.3
919,124,0.46
920,132,0.49
921,29,0.11
922,20,0.07
923,119,0.44
924,73,0.27
925,134,0.5
926,98,0.37
927,34,0.13
928,72,0.27
929,350,1.31
930,268,1.0
931,20,0.07
932,188,0.7
933,137,0.51
934,54,0.2
935,474,1.77
936,211,0.79
937,80,0.3
938,30,0.11
939,31,0.12
940,298,1.11
941,254,0.95
942,32,0.12
943,147,0.55
944,20,0.07
945,74,0.28
946,25,0.09
947,336,1.26
948,90,0.34
949,112,0.42
950,189,0.71
951,264,0.99
952,63,0.24
953,58,0.22
954,53,0.2
955,766,2.86
956,53,0.2
957,44,0.16
958,20,0.07
959,57,0.21
960,77,0.29
961,36,0.13
962,61,0.23
963,20,0.07
964,227,0.85
965,80,0.3
966,24,0.09
967,60,0.22
968,84,0.31
969,517,1.93
970,486,1.82
971,1075,4.02
972,31,0.12
973,45,0.17
974,34,0.13
975,264,0.99
976,22,0.08
977,41,0.15
978,211,0.79
979,130,0.49
980,77,0.29
981,46,0.17
982,2183,8.16
983,92,0.34
984,203,0.76
985,35,0.13
986,190,0.71
987,169,0.63
988,51,0.19
989,292,1.09
990,73,0.27
991,27,0.1
992,23,0.09
993,66,0.25
994,361,1.35
995,295,1.1
996,42,0.16
997,79,0.3
998,127,0.47
999,25,0.09
1000,57,0.21
1001,589,2.2
1002,45,0.17
1003,174,0.65
1004,28,0.1
1005,24,0.09
1006,60,0.22
1007,276,1.03
1008,29,0.11
1009,28,0.1
1010,38,0.14
1011,719,2.69
1012,118,0.44
1013,29,0.11
1014,35,0.13
1015,302,1.13
1016,142,0.53
1017,46,0.17
1018,45,0.17
1019,82,0.31
1020,68,0.25
1021,33,0.12
1022,130,0.49
1023,69,0.26
1024,201,0.75
1025,63,0.24
1026,55,0.21
1027,30,0.11
1028,284,1.06
1029,23,0.09
1030,347,1.3
1031,56,0.21
1032,40,0.15
1033,21,0.08
1034,118,0.44
1035,41,0.15
1036,55,0.21
1037,102,0.38
1038,51,0.19
1039,56,0.21
1040,42,0.16
1041,166,0.62
1042,316,1.18
1043,23,0.09
1044,61,0.23
1045,161,0.6
1046,69,0.26
1047,35,0.13
1048,494,1.85
1049,60,0.22
1050,75,0.28
1051,48,0.18
1052,764,2.86
1053,45,0.17
1054,26,0.1
1055,39,0.15
1056,102,0.38
1057,558,2.09
1058,136,0.51
1059,25,0.09
1060,59,0.22
1061,204,0.76
1062,40,0.15
1063,124,0.46
1064,25,0.09
1065,149,0.56
1066,27,0.1
1067,21,0.08
1068,466,1.74
1069,23,0.09
1070,34,0.13
1071,63,0.24
1072,80,0.3
1073,296,1.11
1074,67,0.25
1075,25,0.09
1076,30,0.11
1077,24,0.09
1078,167,0.62
1079,25,0.09
1080,160,0.6
1081,150,0.56
1082,43,0.16
1083,87,0.33
1084,104,0.39
1085,401,1.5
1086,37,0.14
1087,69,0.26
1088,60,0.22
1089,44,0.16
1090,74,0.28
1091,47,0.18
1092,40,0.15
1093,545,2.04
1094,62,0.23
1095,501,1.87
1096,49,0.18
1097,25,0.09
1098,49,0.18
1099,44,0.16
1100,48,0.18
1101,30,0.11
1102,134,0.5
1103,57,0.21
1104,32,0.12
1105,111,0.42
1106,93,0.35
1107,305,1.14
1108,224,0.84
1109,21,0.08
1110,20,0.07
1111,118,0.44
1112,24,0.09
1113,731,2.73
1114,97,0.36
1115,37,0.14
1116,128,0.48
1117,87,0.33
1118,124,0.46
1119,238,0.89
1120,112,0.42
1121,42,0.16
1122,87,0.33
1123,355,1.33
1124,29,0.11
1125,33,0.12
1126,67,0.25
1127,82,0.31
1128,43,0.16
1129,32,0.12
1130,62,0.23
1131,40,0.15
1132,25,0.09
1133,245,0.92
1134,57,0.21
1135,498,1.86
1136,34,0.13
1137,25,0.09
1138,21,0.08
1139,66,0.25
1140,415,1.55
1141,437,1.63
1142,25,0.09
1143,70,0.26
1144,61,0.23
1145,111,0.42
1146,35,0.13
1147,254,0.95
1148,73,0.27
1149,37,0.14
1150,80,0.3
1151,25,0.09
1152,50,0.19
1153,66,0.25
1154,555,2.08
1155,501,1.87
1156,20,0.07
1157,63,0.24
1158,103,0.39
1159,235,0.88
1160,77,0.29
1161,60,0.22
1162,49,0.18
1163,392,1.47
1164,131,0.49
1165,815,3.05
1166,327,1.22
1167,28,0.1
1168,74,0.28
1169,136,0.51
1170,33,0.12
1171,31,0.12
1172,37,0.14
1173,140,0.52
1174,228,0.85
1175,462,1.73
1176,115,0.43
1177,33,0.12
1178,36,0.13
1179,48,0.18
1180,26,0.1
1181,79,0.3
1182,22,0.08
1183,147,0.55
1184,43,0.16
1185,931,3.48
1186,45,0.17
1187,172,0.64
1188,74,0.28
1189,23,0.09
1190,426,1.59
1191,437,1.63
1192,34,0.13
1193,25,0.09
1194,23,0.09
1195,65,0.24
1196,40,0.15
1197,127,0.47
1198,292,1.09
1199,48,0.18
1200,1022,3.82
1201,21,0.08
1202,103,0.39
1203,23,0.09
1204,25,0.09
1205,26,0.1
1206,96,0.36
1207,341,1.28
1208,35,0.13
1209,256,0.96
1210,206,0.77
1211,43,0.16
1212,57,0.21
1213,70,0.26
1214,29,0.11
1215,29,0.11
1216,98,0.37
1217,50,0.19
1218,145,0.54
1219,91,0.34
1220,32,0.12
1221,45,0.17
1222,512,1.91
1223,122,0.46
1224,42,0.16
1225,79,0.3
1226,88,0.33
1227,162,0.61
1228,254,0.95
1229,27,0.1
1230,151,0.56
1231,21,0.08
1232,258,0.96
1233,115,0.43
1234,53,0.2
1235,91,0.34
1236,58,0.22
1237,34,0.13
1238,97,0.36
1239,56,0.21
1240,36,0.13
1241,29,0.11
1242,143,0.53
1243,35,0.13
1244,1225,4.58
1245,110,0.41
1246,77,0.29
1247,79,0.3
1248,55,0.21
1249,76,0.28
1250,144,0.54
1251,74,0.28
1252,306,1.14
1253,26,0.1
1254,303,1.13
1255,20,0.07
1256,128,0.48
1257,39,0.15
1258,138,0.52
1259,83,0.31
1260,66,0.25
1261,76,0.28
1262,30,0.11
1263,40,0.15
1264,42,0.16
1265,133,0.5
1266,94,0.35
1267,328,1.23
1268,311,1.16
1269,33,0.12
1270,425,1.59
1271,79,0.3
1272,104,0.39
1273,24,0.09
1274,286,1.07
1275,25,0.09
1276,98,0.37
1277,70,0.26
1278,37,0.14
1279,130,0.49
1280,216,0.81
1281,76,0.28
1282,227,0.85
1283,46,0.17
1284,310,1.16
1285,73,0.27
1286,27,0.1
1287,47,0.18
1288,432,1.62
1289,25,0.09
1290,318,1.19
1291,66,0.25
1292,28,0.1
1293,24,0.09
1294,33,0.12
1295,99,0.37
1296,707,2.64
1297,141,0.53
1298,73,0.27
1299,44,0.16
1300,40,0.15
1301,349,1.3
1302,100,0.37
1303,20,0.07
1304,34,0.13
1305,173,0.65
1306,52,0.19
1307,146,0.55
1308,64,0.24
1309,408,1.53
1310,136,0.51
1311,260,0.97
1312,210,0.79
1313,84,0.31
1314,23,0.09
1315,33,0.12
1316,51,0.19
1317,203,0.76
1318,32,0.12
1319,23,0.09
1320,68,0.25
1321,39,0.15
1322,256,0.96
1323,1003,3.75
1324,65,0.24
1325,27,0.1
1326,236,0.88
1327,101,0.38
1328,157,0.59
1329,64,0.24
1330,93,0.35
1331,111,0.42
1332,28,0.1
1333,20,0.07
1334,486,1.82
1335,68,0.25
1336,25,0.09
1337,20,0.07
1338,275,1.03
1339,532,1.99
1340,48,0.18
1341,358,1.34
1342,25,0.09
1343,80,0.3
1344,30,0.11
1345,42,0.16
1346,23,0.09
1347,116,0.43
1348,54,0.2
1349,68,0.25
1350,576,2.15
1351,31,0.12
1352,107,0.4
1353,53,0.2
1354,23,0.09
1355,24,0.09
1356,134,0.5
1357,67,0.25
1358,84,0.31
1359,77,0.29
1360,57,0.21
1361,90,0.34
1362,46,0.17
1363,61,0.23
1364,131,0.49
1365,91,0.34
1366,23,0.09
1367,184,0.69
1368,33,0.12
1369,191,0.71
1370,67,0.25
1371,46,0.17
1372,548,2.05
1373,32,0.12
1374,310,1.16
1375,47,0.18
1376,336,1.26
1377,61,0.23
1378,485,1.81
1379,26,0.1
1380,34,0.13
1381,140,0.52
1382,194,0.73
1383,150,0.56
1384,73,0.27
1385,79,0.3
1386,213,0.8
1387,225,0.84
1388,37,0.14
1389,61,0.23
1390,36,0.13
1391,41,0.15
1392,60,0.22
1393,99,0.37
1394,21,0.08
1395,101,0.38
1396,91,0.34
1397,21,0.08
1398,106,0.4
1399,33,0.12
1400,121,0.45
1401,32,0.12
1402,36,0.13
1403,166,0.62
1404,30,0.11
1405,29,0.11
1406,76,0.28
1407,42,0.16
1408,24,0.09
1409,87,0.33
1410,22,0.08
1411,1147,4.29
1412,213,0.8
1413,32,0.12
1414,21,0.08
1415,172,0.64
1416,41,0.15
1417,107,0.4
1418,206,0.77
1419,965,3.61
1420,90,0.34
1421,686,2.57
1422,73,0.27
1423,103,0.39
1424,34,0.13
1425,20,0.07
1426,336,1.26
1427,31,0.12
1428,24,0.09
1429,52,0.19
1430,215,0.8
1431,49,0.18
1432,22,0.08
1433,501,1.87
1434,24,0.09
1435,130,0.49
1436,234,0.87
1437,199,0.74
1438,25,0.09
1439,62,0.23
1440,56,0.21
1441,45,0.17
1442,99,0.37
1443,48,0.18
1444,50,0.19
1445,21,0.08
1446,530,1.98
1447,23,0.09
1448,21,0.08
1449,58,0.22
1450,95,0.36
1451,31,0.12
1452,42,0.16
1453,583,2.18
1454,126,0.47
1455,128,0.48
1456,83,0.31
1457,270,1.01
1458,223,0.83
1459,164,0.61
1460,142,0.53
1461,20,0.07
1462,24,0.09
1463,59,0.22
1464,29,0.11
1465,111,0.42
1466,163,0.61
1467,22,0.08
1468,118,0.44
1469,38,0.14
1470,237,0.89
1471,64,0.24
1472,83,0.31
1473,41,0.15
1474,101,0.38
1475,88,0.33
1476,90,0.34
1477,30,0.11
1478,84,0.31
1479,42,0.16
1480,56,0.21
1481,76,0.28
1482,46,0.17
1483,60,0.22
1484,74,0.28
1485,27,0.1
1486,60,0.22
1487,30,0.11
1488,30,0.11
1489,152,0.57
1490,21,0.08
1491,62,0.23
1492,159,0.59
1493,23,0.09
1494,417,1.56
1495,31,0.12
1496,239,0.89
1497,22,0.08
1498,57,0.21
1499,33,0.12
1500,85,0.32
1501,35,0.13
1502,122,0.46
1503,112,0.42
1504,34,0.13
1505,60,0.22
1506,163,0.61
1507,1282,4.79
1508,112,0.42
1509,54,0.2
1510,148,0.55
1511,37,0.14
1512,68,0.25
1513,46,0.17
1514,109,0.41
1515,597,2.23
1516,932,3.48
1517,22,0.08
1518,371,1.39
1519,64,0.24
1520,33,0.12
1521,31,0.12
1522,29,0.11
1523,396,1.48
1524,40,0.15
1525,217,0.81
1526,86,0.32
1527,23,0.09
1528,266,0.99
1529,79,0.3
1530,336,1.26
1531,28,0.1
1532,77,0.29
1533,44,0.16
1534,21,0.08
1535,30,0.11
1536,28,0.1
1537,337,1.26
1538,34,0.13
1539,78,0.29
1540,48,0.18
1541,29,0.11
1542,39,0.15
1543,35,0.13
1544,116,0.43
1545,60,0.22
1546,32,0.12
1547,278,1.04
1548,449,1.68
1549,20,0.07
1550,127,0.47
1551,64,0.24
1552,168,0.63
1553,85,0.32
1554,370,1.38
1555,278,1.04
1556,69,0.26
1557,64,0.24
1558,25,0.09
1559,131,0.49
1560,810,3.03
1561,25,0.09
1562,110,0.41
1563,33,0.12
1564,90,0.34
1565,82,0.31
1566,423,1.58
1567,319,1.19
1568,616,2.3
1569,59,0.22
1570,31,0.12
1571,476,1.78
1572,64,0.24
1573,386,1.44
1574,35,0.13
1575,32,0.12
1576,22,0.08
1577,133,0.5
1578,26,0.1
1579,54,0.2
1580,42,0.16
1581,130,0.49
1582,30,0.11
1583,24,0.09
1584,221,0.83
1585,20,0.07
1586,37,0.14
1587,352,1.32
1588,792,2.96
1589,30,0.11
1590,85,0.32
1591,50,0.19
1592,40,0.15
1593,36,0.13
1594,25,0.09
1595,133,0.5
1596,25,0.09
1597,26,0.1
1598,21,0.08
1599,58,0.22
1600,410,1.53
1601,357,1.33
1602,659,2.46
1603,35,0.13
1604,367,1.37
1605,20,0.07
1606,47,0.18
1607,34,0.13
1608,428,1.6
1609,98,0.37
1610,229,0.86
1611,23,0.09
1612,144,0.54
1613,25,0.09
1614,65,0.24
1615,98,0.37
1616,387,1.45
1617,134,0.5
1618,24,0.09
1619,94,0.35
1620,181,0.68
1621,170,0.64
1622,32,0.12
1623,52,0.19
1624,47,0.18
1625,77,0.29
1626,203,0.76
1627,481,1.8
1628,140,0.52
1629,463,1.73
1630,80,0.3
1631,24,0.09
1632,127,0.47
1633,70,0.26
1634,30,0.11
1635,63,0.24
1636,38,0.14
1637,39,0.15
1638,183,0.68
1639,42,0.16
1640,137,0.51
1641,64,0.24
1642,21,0.08
1643,413,1.54
1644,624,2.33
1645,108,0.4
1646,21,0.08
1647,28,0.1
1648,26,0.1
1649,75,0.28
1650,91,0.34
1651,27,0.1
1652,50,0.19
1653,381,1.42
1654,21,0.08
1655,25,0.09
1656,27,0.1
1657,208,0.78
1658,57,0.21
1659,36,0.13
1660,34,0.13
