asin,title,main_category,price,average_rating,rating_number,features,description,images
B00000017,BrandA Tools Product 17,Tools,12.18909694376715,3.846802961412739,138,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_17.jpg']
B00000018,BrandC Fragrance Product 18,Fragrance,37.837936572432724,4.4226839054972995,428,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_18.jpg']
B00000019,BrandC Skincare Product 19,Skincare,20.36625124277265,3.7169314570885454,50,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_19.jpg']
B00000020,BrandA Fragrance Product 20,Fragrance,97.2617377558581,3.6617960497052984,57,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_20.jpg']
B00000021,BrandE Bath Product 21,Bath,112.14486496732897,4.2751149427104265,996,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_21.jpg']
B00000022,BrandA Haircare Product 22,Haircare,63.60976246553058,4.943424190778208,652,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_22.jpg']
B00000023,BrandE Skincare Product 23,Skincare,88.57880765972948,4.541934359909122,880,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_23.jpg']
B00000024,BrandA Haircare Product 24,Haircare,109.49280455601024,3.2217816416236627,901,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_24.jpg']
B00000025,BrandC Tools Product 25,Tools,14.400085996142796,4.272820822527561,573,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_25.jpg']
B00000026,BrandD Tools Product 26,Tools,137.059306349653,3.49858445829775,758,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_26.jpg']
B00000027,BrandE Haircare Product 27,Haircare,42.03174316882715,3.1539598196575858,708,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_27.jpg']
B00000028,BrandF Haircare Product 28,Haircare,133.26549746213607,4.2487080962675865,583,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_28.jpg']
B00000029,BrandE Skincare Product 29,Skincare,132.0044826262805,4.607344153798229,565,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_29.jpg']
B00000030,BrandF Fragrance Product 30,Fragrance,133.65923624864155,3.648690042010548,357,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_30.jpg']
B00000031,BrandF Skincare Product 31,Skincare,25.407269433874745,3.4558703250838834,967,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_31.jpg']
B00000032,BrandD Skincare Product 32,Skincare,59.35963988678366,3.609562516316058,719,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_32.jpg']
B00000033,BrandA Haircare Product 33,Haircare,77.87619599025764,4.384872065780541,243,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_33.jpg']
B00000034,BrandC Fragrance Product 34,Fragrance,55.24841048290573,4.037581243486732,242,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_34.jpg']
B00000035,BrandA Fragrance Product 35,Fragrance,19.084914595257416,3.5078308278686894,277,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_35.jpg']
B00000036,BrandB Bath Product 36,Bath,109.71788258942189,3.2961738599067996,961,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_36.jpg']
B00000037,BrandC Skincare Product 37,Skincare,95.33900675718556,4.005358046457723,575,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_37.jpg']
B00000038,BrandA Tools Product 38,Tools,98.80918825819093,4.361410903109533,62,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_38.jpg']
B00000039,BrandB Fragrance Product 39,Fragrance,147.9910635754841,3.484110543023001,845,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_39.jpg']
B00000040,BrandC Haircare Product 40,Haircare,43.90239135883962,4.606279512759792,846,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_40.jpg']
B00000041,BrandB Fragrance Product 41,Fragrance,98.69415950652525,4.071549368149517,761,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_41.jpg']
B00000042,BrandA Skincare Product 42,Skincare,54.909209096043014,3.3730370207997087,358,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_42.jpg']
B00000043,BrandD Haircare Product 43,Haircare,55.63424672826387,3.4404820951310966,355,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_43.jpg']
B00000044,BrandC Haircare Product 44,Haircare,58.81323822084211,3.1923531021828415,498,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_44.jpg']
B00000045,BrandB Skincare Product 45,Skincare,127.27941482702592,4.351380234078562,962,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_45.jpg']
B00000046,BrandB Skincare Product 46,Skincare,139.4571065589988,4.754678706761962,620,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_46.jpg']
B00000047,BrandB Fragrance Product 47,Fragrance,147.50356806612098,4.033271782542029,890,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_47.jpg']
B00000048,BrandA Makeup Product 48,Makeup,23.03438749282589,4.794431515906654,46,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_48.jpg']
B00000049,BrandA Haircare Product 49,Haircare,49.04198936290546,4.400715659945543,217,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_49.jpg']
B00000050,BrandD Haircare Product 50,Haircare,134.1920993971164,4.559751091715247,929,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_50.jpg']
B00000051,BrandC Fragrance Product 51,Fragrance,140.98889919093264,4.570681302227888,113,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_51.jpg']
B00000052,BrandF Fragrance Product 52,Fragrance,11.287587226328151,3.2029430857320644,108,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_52.jpg']
B00000053,BrandE Skincare Product 53,Skincare,49.748936463245194,3.6107277206887867,715,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_53.jpg']
B00000054,BrandC Bath Product 54,Bath,101.27457633036407,3.44853861892112,170,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_54.jpg']
B00000055,BrandA Fragrance Product 55,Fragrance,79.14512012568085,3.3576454184426576,513,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_55.jpg']
B00000056,BrandA Haircare Product 56,Haircare,53.12851085933449,4.085080461109799,964,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_56.jpg']
B00000057,BrandF Haircare Product 57,Haircare,47.12833147544156,3.487979286758167,47,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_57.jpg']
B00000058,BrandE Bath Product 58,Bath,78.14390141432372,4.812197575437108,36,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_58.jpg']
B00000059,BrandE Makeup Product 59,Makeup,80.36919303472689,4.153807769252718,969,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_59.jpg']
B00000060,BrandE Skincare Product 60,Skincare,42.22593755381774,3.9983867597695046,525,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_60.jpg']
B00000061,BrandA Haircare Product 61,Haircare,16.104528045620725,4.989101021594682,167,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_61.jpg']
B00000062,BrandF Tools Product 62,Tools,138.0810146308628,3.7403174005108886,754,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_62.jpg']
B00000063,BrandE Tools Product 63,Tools,69.945780764424,4.933309638087339,108,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_63.jpg']
B00000064,BrandA Fragrance Product 64,Fragrance,20.54847584085795,3.611394038574364,937,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_64.jpg']
B00000065,BrandC Skincare Product 65,Skincare,33.72898453605295,4.1136025249167005,744,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_65.jpg']
B00000066,BrandB Bath Product 66,Bath,140.20235687351646,3.140832261699088,635,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_66.jpg']
B00000067,BrandB Bath Product 67,Bath,45.582910869763424,3.5905811768378775,995,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_67.jpg']
B00000068,BrandA Skincare Product 68,Skincare,29.126986401884032,4.417821993820237,48,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_68.jpg']
B00000069,BrandB Tools Product 69,Tools,123.31056176699191,4.6202267893583615,930,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_69.jpg']
B00000070,BrandD Tools Product 70,Tools,81.58793584053129,4.003032589374399,694,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_70.jpg']
B00000071,BrandA Fragrance Product 71,Fragrance,19.93172837998987,3.7935676544277768,663,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_71.jpg']
B00000072,BrandC Fragrance Product 72,Fragrance,57.31932195921501,3.751165905279888,843,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_72.jpg']
B00000073,BrandC Bath Product 73,Bath,75.18372253854442,4.085289269415153,134,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_73.jpg']
B00000074,BrandB Bath Product 74,Bath,130.45664656363454,3.500502721031728,691,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_74.jpg']
B00000075,BrandF Bath Product 75,Bath,85.19153980753177,3.653302483592082,273,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_75.jpg']
B00000076,BrandD Tools Product 76,Tools,40.21494384955804,4.245780951638,205,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_76.jpg']
B00000077,BrandE Bath Product 77,Bath,37.21320475928222,3.822707810113357,876,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_77.jpg']
B00000078,BrandE Fragrance Product 78,Fragrance,145.73516139598226,4.429190208359904,668,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_78.jpg']
B00000079,BrandC Skincare Product 79,Skincare,71.45599889878906,3.1569127626845317,750,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_79.jpg']
B00000080,BrandE Makeup Product 80,Makeup,21.322215326407672,3.8566289498802155,917,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_80.jpg']
B00000081,BrandA Tools Product 81,Tools,34.26120480991841,3.3128740853421723,811,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_81.jpg']
B00000082,BrandF Bath Product 82,Bath,110.04342917800872,4.320394753435463,894,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_82.jpg']
B00000083,BrandE Skincare Product 83,Skincare,113.30556833740759,4.108708105022801,799,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_83.jpg']
B00000084,BrandC Tools Product 84,Tools,44.68233853016204,3.711945357302523,95,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_84.jpg']
B00000085,BrandE Skincare Product 85,Skincare,26.250169670968273,3.0920052840435055,103,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_85.jpg']
B00000086,BrandF Bath Product 86,Bath,108.51210031320332,3.9483476581746504,227,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_86.jpg']
B00000087,BrandE Makeup Product 87,Makeup,76.28604790927919,3.3464037398200306,743,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_87.jpg']
B00000088,BrandB Tools Product 88,Tools,96.21901372731031,4.270187301735287,811,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_88.jpg']
B00000089,BrandB Fragrance Product 89,Fragrance,97.62038819999309,4.006272517160175,778,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_89.jpg']
B00000090,BrandE Tools Product 90,Tools,32.81081979140016,3.1411374948008595,768,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_90.jpg']
B00000091,BrandA Makeup Product 91,Makeup,131.40785069770052,4.272807194892023,861,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_91.jpg']
B00000092,BrandB Fragrance Product 92,Fragrance,90.27138583407066,3.2570007064678204,966,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_92.jpg']
B00000093,BrandC Haircare Product 93,Haircare,141.80507322871352,3.7722052756015483,426,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_93.jpg']
B00000094,BrandC Makeup Product 94,Makeup,37.4107588705015,3.138722601750331,616,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_94.jpg']
B00000095,BrandB Bath Product 95,Bath,15.454838523432707,4.236507768675786,736,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_95.jpg']
B00000096,BrandB Skincare Product 96,Skincare,54.656588241126585,4.689750621938909,611,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_96.jpg']
B00000097,BrandB Bath Product 97,Bath,46.49723395302644,3.9920749085868126,835,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_97.jpg']
B00000098,BrandB Tools Product 98,Tools,98.05199854918376,4.754944027054106,429,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_98.jpg']
B00000099,BrandE Skincare Product 99,Skincare,145.46127721283466,4.095943766496175,878,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_99.jpg']
B00000100,BrandC Skincare Product 100,Skincare,148.67071988009425,3.825235353822853,987,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_100.jpg']
B00000101,BrandF Skincare Product 101,Skincare,88.6613369001283,3.47719371958068,704,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_101.jpg']
B00000102,BrandA Tools Product 102,Tools,43.35306133655712,3.7554577723525897,890,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_102.jpg']
B00000103,BrandD Bath Product 103,Bath,125.70404525508383,3.6400992020612235,708,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_103.jpg']
B00000104,BrandA Haircare Product 104,Haircare,17.487941544631646,4.917082993766397,924,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_104.jpg']
B00000105,BrandA Fragrance Product 105,Fragrance,54.70390926265808,4.90012393410161,393,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_105.jpg']
B00000106,BrandC Fragrance Product 106,Fragrance,79.0235920880527,3.166568822390519,78,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_106.jpg']
B00000107,BrandD Haircare Product 107,Haircare,56.01303635178824,4.345036912154077,493,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_107.jpg']
B00000108,BrandA Tools Product 108,Tools,25.88504428244272,4.861858211374585,195,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_108.jpg']
B00000109,BrandB Bath Product 109,Bath,71.81427019227277,4.7754083655166,244,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_109.jpg']
B00000110,BrandB Haircare Product 110,Haircare,145.61127215637887,4.376060020350078,963,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_110.jpg']
B00000111,BrandA Fragrance Product 111,Fragrance,24.157174657190634,3.168213612229995,662,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_111.jpg']
B00000112,BrandA Makeup Product 112,Makeup,125.06040830064987,4.412484454312993,526,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_112.jpg']
B00000113,BrandE Tools Product 113,Tools,42.651930139433894,4.162610834453565,374,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_113.jpg']
B00000114,BrandF Skincare Product 114,Skincare,123.79193941605035,4.894497154767717,226,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_114.jpg']
B00000115,BrandD Tools Product 115,Tools,59.030554538043894,4.4163623911664,796,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_115.jpg']
B00000116,BrandD Tools Product 116,Tools,88.1765949630127,3.848444018493953,867,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_116.jpg']
B00000117,BrandF Haircare Product 117,Haircare,78.96751460072028,3.0227072895348384,229,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_117.jpg']
B00000118,BrandB Bath Product 118,Bath,113.73634052749357,4.534389706217143,904,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_118.jpg']
B00000119,BrandA Skincare Product 119,Skincare,105.34551979356726,3.47501294258494,514,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_119.jpg']
B00000120,BrandA Fragrance Product 120,Fragrance,21.60478503706959,4.056740242594419,126,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_120.jpg']
B00000121,BrandB Bath Product 121,Bath,11.701626456574289,4.939757653415278,838,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_121.jpg']
B00000122,BrandF Tools Product 122,Tools,139.45006623130345,4.838231430557319,685,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_122.jpg']
B00000123,BrandC Haircare Product 123,Haircare,145.70235498667387,4.046195688340298,242,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_123.jpg']
B00000124,BrandF Skincare Product 124,Skincare,51.22915255752018,4.991662750058741,575,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_124.jpg']
B00000125,BrandC Bath Product 125,Bath,136.16212146873846,3.090892760682916,21,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_125.jpg']
B00000126,BrandF Makeup Product 126,Makeup,73.79194538999981,4.240265195603073,17,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_126.jpg']
B00000127,BrandD Makeup Product 127,Makeup,100.55877063362134,3.7765367679797444,325,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_127.jpg']
B00000128,BrandD Makeup Product 128,Makeup,20.882849175097878,4.948789615332333,713,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_128.jpg']
B00000129,BrandF Haircare Product 129,Haircare,14.524233155351066,3.5595270143378914,733,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_129.jpg']
B00000130,BrandD Tools Product 130,Tools,47.934069952118186,3.2663702504474994,556,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_130.jpg']
B00000131,BrandF Tools Product 131,Tools,142.97198786086938,4.45143901677672,824,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_131.jpg']
B00000132,BrandB Skincare Product 132,Skincare,21.584778804942857,4.753322971851586,260,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_132.jpg']
B00000133,BrandE Tools Product 133,Tools,13.69137642961528,3.752926733756099,74,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_133.jpg']
B00000134,BrandA Makeup Product 134,Makeup,62.7434557913117,4.499156599952144,226,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_134.jpg']
B00000135,BrandC Bath Product 135,Bath,127.89664923899922,4.676657409422276,619,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_135.jpg']
